"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Christian McCaffrey","CAR","at NO","1","4","2.3","0.9","20.4"
"2","undefined","","Nick Chubb","CLE","vs. MIA","1","6","2.5","1.6","19.1"
"3","undefined","","Derrick Henry","TEN","vs. JAC","1","6","2.6","1.4","16.6"
"4","undefined","","Alvin Kamara","NO","vs. CAR","2","4","3.2","0.7","16.0"
"5","undefined","","Josh Jacobs","OAK","at NYJ","2","9","5.5","1.3","14.9"
"6","undefined","","Saquon Barkley","NYG","at CHI","4","10","6.6","2.2","14.4"
"7","undefined","","Leonard Fournette","JAC","at TEN","6","10","7.6","1.0","14.3"
"8","undefined","","Aaron Jones","GB","at SF","5","12","7.8","1.2","13.0"
"9","undefined","","Ezekiel Elliott","DAL","at NE","5","11","7.8","1.3","13.6"
"10","undefined","","Chris Carson","SEA","at PHI","7","12","10.4","1.5","12.9"
"11","undefined","","Le'Veon Bell","NYJ","vs. OAK","9","11","10.7","0.6","12.3"
"12","undefined","","Todd Gurley","LAR","vs. BAL","10","14","12.2","1.2","12.2"
"13","undefined","","Tevin Coleman","SF","vs. GB","8","18","13.5","0.9","11.9"
"14","undefined","","Mark Ingram","BAL","at LAR","12","18","14.1","1.3","11.8"
"15","undefined","","Phillip Lindsay","DEN","at BUF","13","21","16.1","1.4","11.6"
"16","undefined","","Joe Mixon","CIN","vs. PIT","14","20","16.4","1.5","11.5"
"17","undefined","","David Montgomery","CHI","vs. NYG","12","30","17.8","2.0","11.5"
"18","undefined","","Devin Singletary","BUF","vs. DEN","16","24","18.2","1.3","11.1"
"19","undefined","","Carlos Hyde","HOU","vs. IND","16","24","20.3","2.2","10.8"
"20","undefined","","Jaylen Samuels","PIT","at CIN","11","22","20.4","1.5","10.8"
"21","undefined","","Miles Sanders","PHI","vs. SEA","15","27","21.2","2.6","10.4"
"22","undefined","","Bo Scarbrough","DET","at WAS","5","29","21.4","4.0","10.0"
"23","undefined","","Sony Michel","NE","vs. DAL","14","32","22.5","2.1","10.0"
"24","undefined","","Kareem Hunt","CLE","vs. MIA","20","29","23.2","1.2","9.9"
"25","undefined","","Ronald Jones II","TB","at ATL","21","28","24.4","1.4","9.3"
"26","undefined","","Brian Hill","ATL","vs. TB","18","30","26.1","1.9","9.2"
"27","undefined","","Latavius Murray","NO","vs. CAR","22","35","28.1","2.8","8.7"
"28","undefined","","James White","NE","vs. DAL","25","30","28.2","1.3","8.7"
"29","undefined","","Derrius Guice","WAS","vs. DET","25","37","28.3","2.0","8.2"
"30","undefined","","Jamaal Williams","GB","at SF","20","36","30.8","2.5","8.1"
"31","undefined","","Tarik Cohen","CHI","vs. NYG","30","37","32.2","1.1","7.9"
"32","undefined","","Jonathan Williams","IND","at HOU","27","37","32.8","2.9","7.8"
"33","undefined","","Royce Freeman","DEN","at BUF","23","37","33.2","2.6","7.7"
"34","undefined","","Adrian Peterson","WAS ","vs. DET","28","42","33.5","2.6","7.5"
"35","undefined","","Duke Johnson","HOU","vs. IND","31","40","35.8","2.4","7.5"
"36","undefined","","Kalen Ballage","MIA","at CLE","26","42","36.1","3.4","7.2"
"37","undefined","","Raheem Mostert","SF","vs. GB","33","44","37.2","2.4","6.8"
"38","undefined","","Jordan Wilkins","IND","at HOU","29","49","39.2","2.4","6.7"
"39","undefined","","Gus Edwards","BAL","at LAR","36","45","40.2","2.4","6.6"
"40","undefined","","Peyton Barber","TB","at ATL","38","47","41.7","2.3","6.4"
"41","undefined","","Nyheim Hines","IND","at HOU","35","48","42.6","3.5","6.4"
"42","undefined","","Frank Gore","BUF","vs. DEN","40","48","42.8","2.6","6.4"
"43","undefined","","J.D. McKissic","DET","at WAS","36","47","44.8","2.5","6.3"
"44","undefined","","Rex Burkhead","NE","vs. DAL","38","50","45.4","1.9","6.3"
"45","undefined","","Benny Snell Jr.","PIT","at CIN","30","66","46.5","10.7","6.1"
"46","undefined","","Patrick Laird","MIA","at CLE","32","54","46.7","3.4","5.6"
"47","undefined","","Jeff Wilson","SF","vs. GB","40","60","48.2","4.5","5.6"
"48","undefined","","Boston Scott","PHI","vs. SEA","37","61","49.5","4.7","5.5"
"49","undefined","","Jay Ajayi","PHI","vs. SEA","38","62","51.2","6.6","5.5"
"50","undefined","","Ty Johnson","DET","at WAS","44","58","51.6","2.6","5.3"
"51","undefined","","Trey Edmunds","PIT","at CIN","40","59","46.7","5.1","4.4"
"52","undefined","","Giovani Bernard","CIN","vs. PIT","50","56","53.0","1.8","4.2"
"53","undefined","","Qadree Ollison","ATL","vs. TB","47","61","53.5","4.2","3.8"
"54","undefined","","Jalen Richard","OAK","at NYJ","49","59","56.3","1.5","3.8"
"55","undefined","","Malcolm Brown","LAR","vs. BAL","41","61","53.3","4.1","3.8"
"56","undefined","","Dion Lewis","TEN","vs. JAC","49","63","56.3","2.5","3.8"
"57","undefined","","Dare Ogunbowale","TB","at ATL","47","63","58.2","2.6","3.5"
"58","undefined","","Tony Pollard","DAL","at NE","51","62","56.9","2.6","3.4"
"59","undefined","","Jordan Howard","PHI ","vs. SEA","29","59","45.1","9.4","3.3"
"60","undefined","","DeAndre Washington","OAK","at NYJ","48","69","58.3","4.9","3.3"
"61","undefined","","Rashaad Penny","SEA","at PHI","50","65","58.4","4.2","3.2"
"62","undefined","","Bilal Powell","NYJ","vs. OAK","56","65","61.3","2.1","3.1"
"63","undefined","","Kenjon Barner","ATL","vs. TB","61","70","63.9","2.3","3.1"
"64","undefined","","Ryquell Armstead","JAC","at TEN","59","67","64.2","1.5","2.8"
"65","undefined","","Chris Thompson","WAS ","vs. DET","41","74","66.1","6.7","2.8"
"66","undefined","","Darrell Henderson","LAR","vs. BAL","56","68","65.1","2.1","2.7"
"67","undefined","","Wayne Gallman","NYG","at CHI","59","69","66.1","2.0","2.6"
"68","undefined","","Justice Hill","BAL","at LAR","60","67","65.9","0.8","2.6"
"69","undefined","","Myles Gaskin","MIA","at CLE","67","70","68.4","1.0","2.6"
"70","undefined","","Brandon Bolden","NE","vs. DAL","65","73","69.5","1.9","2.3"
"71","undefined","","Matt Breida","SF ","vs. GB","52","82","66.4","10.9","2.3"
"72","undefined","","Wendell Smallwood","WAS","vs. DET","61","73","70.7","1.7","2.2"
"73","undefined","","Ty Montgomery","NYJ","vs. OAK","69","74","71.2","1.5","2.2"
"74","undefined","","Reggie Bonnafon","CAR","at NO","71","75","73.0","1.3","2.1"
"75","undefined","","Ryan Nall","CHI","vs. NYG","72","76","73.0","1.5","2.1"
"76","undefined","","Alex Armah","CAR","at NO","72","76","75.2","1.6","2.0"
"77","undefined","","Kyle Juszczyk","SF","vs. GB","47","80","77.7","2.4","1.8"
"78","undefined","","Devontae Booker","DEN","at BUF","74","78","77.0","1.1","1.8"
"79","undefined","","C.J. Prosise","SEA","at PHI","74","83","79.0","2.9","1.8"
"80","undefined","","Dontrell Hilliard","CLE","vs. MIA","77","81","78.5","1.5","1.8"
"81","undefined","","Elijhaa Penny","NYG","at CHI","74","82","79.3","3.1","1.7"
"82","undefined","","Alec Ingold","OAK","at NYJ","75","75","75.0","0.0","1.7"
"83","undefined","","Patrick DiMarco","BUF","vs. DEN","79","88","83.7","3.7","1.5"
"84","undefined","","Dan Vitale","GB","at SF","80","91","85.3","4.5","1.4"
"85","undefined","","T.J. Yeldon","BUF","vs. DEN","83","85","84.0","1.0","1.3"
""
""