"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Baltimore (BAL)","vs. TEN","1","3","1.4","0.6","8.7"
"2","undefined","","San Francisco (SF)","vs. MIN","1","5","1.8","0.6","8.7"
"3","undefined","","Kansas City (KC)","vs. HOU","1","5","3.4","0.9","7.8"
"4","undefined","","Green Bay (GB)","vs. SEA","2","5","3.7","0.7","7.4"
"5","undefined","","Minnesota (MIN)","at SF","3","6","4.8","0.7","6.8"
"6","undefined","","Seattle (SEA)","at GB","4","6","5.8","0.4","5.0"
"7","undefined","","Houston (HOU)","at KC","7","8","7.2","0.4","5.0"
"8","undefined","","Tennessee (TEN)","at BAL","7","8","7.8","0.4","4.6"
""
""