"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Baltimore Ravens","","3.0","0.9","0.6","1.1","0.2","0.0","17.9","336.2","8.0"
"","high","3.4","1.2","0.8","1.2","0.2","0.1","18.8","299.0","9.1"
"","low","2.4","0.5","0.5","1.0","0.1","0.0","17.2","373.3","7.3"
"Kansas City Chiefs","","3.4","1.0","0.6","0.9","0.2","0.0","20.3","349.1","7.8"
"","high","3.8","1.2","0.7","0.9","0.2","0.0","20.8","342.0","9.4"
"","low","3.0","0.8","0.5","0.9","0.2","0.0","19.3","356.2","8.0"
"San Francisco 49ers","","2.7","0.6","0.8","1.5","0.2","0.1","18.1","338.1","7.6"
"","high","3.6","0.9","1.2","1.7","0.2","0.1","18.8","303.0","7.4"
"","low","2.0","0.4","0.5","1.2","0.1","0.0","17.3","373.2","7.2"
"Green Bay Packers","","3.2","0.7","0.6","0.9","0.1","0.0","20.6","367.0","6.7"
"","high","3.5","1.0","0.8","1.1","0.2","0.0","21.0","366.0","8.3"
"","low","3.1","0.5","0.5","0.7","0.0","0.0","19.5","368.0","7.3"
"Minnesota Vikings","","2.8","0.9","0.7","1.0","0.1","0.0","23.5","371.4","6.6"
"","high","3.2","1.3","1.0","1.4","0.2","0.0","25.8","346.0","8.8"
"","low","2.4","0.6","0.5","0.6","0.0","0.0","18.1","396.8","6.0"
"Seattle Seahawks","","2.3","0.5","0.6","1.1","0.1","0.0","24.2","362.8","5.0"
"","high","2.7","0.6","1.0","1.4","0.2","0.0","25.5","350.0","5.6"
"","low","2.2","0.4","0.3","0.7","0.0","0.0","21.9","375.5","4.5"
"Tennessee Titans","","1.9","0.6","0.5","0.7","0.1","0.0","26.7","383.8","4.7"
"","high","2.8","0.7","0.7","1.0","0.1","0.0","28.5","364.0","5.0"
"","low","1.4","0.6","0.3","0.4","0.0","0.0","23.3","403.5","4.4"
"Houston Texans","","1.7","0.6","0.5","0.8","0.1","0.0","28.1","407.9","4.5"
"","high","2.8","0.7","0.8","1.1","0.1","0.0","30.3","392.0","4.8"
"","low","1.2","0.4","0.4","0.6","0.0","0.0","22.9","423.8","3.4"
""
""