,nfl.p.24793,nfl.p.26650,nfl.p.26664,nfl.p.27538,nfl.p.27564,nfl.p.28402,nfl.p.28408,nfl.p.28461,nfl.p.28592,nfl.p.29238,nfl.p.29785,nfl.p.30117,nfl.p.30121,nfl.p.30132,nfl.p.30154,nfl.p.30161,nfl.p.30256,nfl.p.30269,nfl.p.30502,nfl.p.30977,nfl.p.30994,nfl.p.31002,nfl.p.31017,nfl.p.31019,nfl.p.31031,nfl.p.31051,nfl.p.31056,nfl.p.31100,nfl.p.31840,nfl.p.31856,nfl.p.31868,nfl.p.6762,nfl.p.9353,nfl.p.9496,nfl.t.14,nfl.t.16,nfl.t.20,nfl.t.7,Proj. Pts,teamRank
Proj. Pts,0.0,13.4,8.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,17.6,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,11.8,0.0,0.0,117.6,1.0
5,0.0,13.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,15.6,20.6,5.7,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,117.50000000000001,2.0
8,0.0,13.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,17.6,0.0,0.0,12.6,0.0,0.0,0.0,23.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,11.8,0.0,0.0,117.5,3.0
2,0.0,13.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.6,0.0,0.0,17.6,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,11.8,0.0,0.0,117.39999999999999,4.0
29,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.6,0.0,0.0,17.6,0.0,0.0,12.6,0.0,0.0,0.0,23.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,11.8,0.0,0.0,117.3,5.0
26,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,117.10000000000001,6.0
108,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.3,15.6,0.0,0.0,17.6,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,117.1,7.0
3,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,10.2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,116.7,8.0
4,0.0,13.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,116.69999999999999,9.0
102,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,18.8,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,116.6,10.0
37,0.0,13.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,116.6,10.0
24,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,11.8,0.0,0.0,116.5,12.0
101,0.0,13.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,5.7,0.0,0.0,0.0,12.6,0.0,18.8,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,116.5,12.0
235,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,5.7,0.0,0.0,0.0,12.6,0.0,18.8,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,116.5,12.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,10.2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,116.49999999999999,15.0
118,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,8.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,116.4,16.0
33,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,9.5,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,116.39999999999999,17.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.3,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,116.2,18.0
0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,116.0,19.0
1,0.0,13.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,17.6,0.0,0.0,12.6,0.0,18.8,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.9,20.0
18,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,0.0,20.6,0.0,17.6,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.8,21.0
215,0.0,13.4,0.0,5.7,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,17.6,0.0,0.0,12.6,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.8,21.0
78,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,17.6,0.0,0.0,12.6,0.0,18.8,0.0,0.0,8.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.8,21.0
82,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,0.0,20.6,5.7,17.6,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.60000000000001,24.0
20,0.0,13.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,11.3,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.6,25.0
75,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,20.6,0.0,0.0,11.3,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.39999999999999,26.0
10,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.6,0.0,0.0,17.6,11.3,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.39999999999999,26.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,18.8,10.2,0.0,0.0,0.0,9.5,0.0,8.5,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.39999999999999,26.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,20.6,0.0,17.6,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,7.0,7.6,0.0,0.0,11.8,0.0,0.0,115.30000000000001,29.0
12,0.0,13.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,15.6,0.0,0.0,17.6,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.3,30.0
89,0.0,13.4,0.0,0.0,0.0,7.5,0.0,12.9,0.0,0.0,0.0,0.0,20.6,5.7,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.3,30.0
84,0.0,13.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,0.0,20.6,0.0,0.0,0.0,0.0,12.6,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.3,30.0
13,0.0,13.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,23.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.3,30.0
58,0.0,0.0,8.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,17.6,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.3,30.0
168,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,17.6,0.0,0.0,0.0,0.0,18.8,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.2,35.0
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,20.6,0.0,17.6,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,9.5,0.0,0.0,0.0,5.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.2,35.0
53,0.0,13.4,0.0,0.0,17.4,0.0,6.1,0.0,0.0,0.0,0.0,15.6,20.6,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.10000000000001,37.0
195,0.0,13.4,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,7.3,0.0,20.6,5.7,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.1,38.0
80,0.0,0.0,8.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.1,38.0
56,0.0,13.4,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,7.3,15.6,0.0,5.7,17.6,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.1,38.0
59,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,15.6,20.6,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.00000000000001,41.0
190,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,12.6,0.0,18.8,0.0,0.0,0.0,4.8,9.5,0.0,0.0,0.0,0.0,15.7,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.0,42.0
6,0.0,13.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,0.0,0.0,6.9,115.0,42.0
206,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,15.7,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,115.0,42.0
167,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,8.0,0.0,7.3,15.6,20.6,0.0,17.6,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.0,42.0
54,0.0,13.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,4.8,0.0,0.0,0.0,9.5,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.0,42.0
52,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,17.6,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,4.8,9.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,115.0,42.0
186,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,114.9,48.0
63,0.0,13.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,15.6,20.6,5.7,0.0,0.0,13.7,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,114.89999999999999,49.0
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,17.6,0.0,0.0,0.0,0.0,18.8,0.0,0.0,8.4,4.8,9.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,114.89999999999999,49.0
161,0.0,13.4,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,7.3,15.6,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,7.6,0.0,0.0,11.8,0.0,0.0,114.89999999999999,49.0
308,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.4,4.8,0.0,0.0,0.0,9.5,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,114.89999999999999,49.0
79,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,17.6,0.0,0.0,12.6,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,10.6,0.0,11.8,0.0,0.0,114.89999999999999,49.0
27,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,0.0,0.0,6.9,114.8,54.0
205,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,17.2,0.0,0.0,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,4.8,9.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,114.8,54.0
331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,15.7,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,114.8,54.0
185,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,17.6,0.0,0.0,12.6,0.0,18.8,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,114.8,54.0
328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,17.6,0.0,0.0,12.6,0.0,18.8,0.0,0.0,8.4,0.0,9.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,114.7,58.0
202,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,17.6,0.0,0.0,12.6,0.0,18.8,0.0,0.0,0.0,0.0,9.5,0.0,8.5,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,114.7,58.0
42,0.0,13.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,8.4,0.0,114.7,58.0
155,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.6,20.6,5.7,0.0,0.0,13.7,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,114.7,58.0
128,0.0,13.4,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,15.6,20.6,5.7,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,8.4,0.0,114.60000000000001,62.0
327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,5.7,17.6,0.0,0.0,12.6,0.0,18.8,10.2,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,114.60000000000001,62.0
330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,7.3,0.0,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,0.0,4.8,9.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,114.6,64.0
239,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,20.6,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,23.0,8.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,8.4,0.0,114.6,64.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,7.8,0.0,7.6,0.0,0.0,11.8,0.0,0.0,114.5,66.0
165,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,15.7,0.0,0.0,7.6,0.0,0.0,11.8,0.0,0.0,114.4,67.0
295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,15.6,20.6,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,23.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,15.7,7.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,114.3,68.0
